Data;Servico;Midia;Tipo;competencia;Agencia;NF;Subcontratado;NF; Bruto PI ; Bruto PUP ; Comisao/B. Calculo ; IR ; ISS ; Liquido ;PP;Data Pagt;RPP;RPNP;local;Data;Relatorio;Campanha;situacao;
05/05/2017;veiculacao;Radio;normal;fev/17;Propeg;30389;JF Promoá‰es/Atividade FM;77;660,95;;104,36;1,57;5,22;654,16;16;13/06/2017; nao ; nao ; coorfin ;12/05/2017;6;Rumo Certo - Aterro Sanitario;pago;
05/05/2017;veiculacao;Radio;normal;fev/17;Propeg;30390;JK Fm;1520;2.445,30;;386,1;5,79;19,31;2.420,20;16;13/06/2017; nao ; nao ; coorfin ;12/05/2017;6;Rumo Certo - Aterro Sanitario;pago;
05/05/2017;veiculacao;Radio;normal;jan/17;Propeg;30467;JK Fm;80/001;8.746,08;;1.380,96;20,71;69,05;8.656,32;16;13/06/2017; nao ; nao ; coorfin ;12/05/2017;6;Rumo Certo - Aterro Sanitario;pago;
05/05/2017;veiculacao;Radio;normal;jan/17;Propeg;30510;Mix Fm;58/001;9.229,44;;1.457,28;21,86;72,86;9.134,72;16;13/06/2017; nao ; nao ; coorfin ;12/05/2017;6;Rumo Certo - Aterro Sanitario;pago;
05/05/2017;veiculacao;Radio;normal;jan/17;Propeg;30511;Planalto AM;24218;1.767,00;;279;4,19;13,95;1.748,86;16;13/06/2017; nao ; nao ; coorfin ;12/05/2017;6;Rumo Certo - Aterro Sanitario;pago;
05/05/2017;veiculacao;Radio;normal;fev/17;Propeg;30514;Planalto AM;24263;883,5;;139,5;2,09;6,98;874,43;16;13/06/2017; nao ; nao ; coorfin ;12/05/2017;6;Rumo Certo - Aterro Sanitario;pago;
10/04/2017;veiculacao;Jornal;normal;mar/17;Propeg;29812;de Bras°lia;97846;36.665,61;;5.789,31;86,84;289,47;36.289,30;21;13/06/2017; nao ; nao ; coorfin ;12/05/2017;7;Rumo Certo - Educacao;pago;
18/04/2017;veiculacao;Jornal;normal;mar/17;Propeg;29837;Alì Bras°lia;2772;21.856,42;;3.451,01;51,77;172,55;21.632,10;21;13/06/2017; nao ; nao ; coorfin ;12/05/2017;7;Rumo Certo - Educacao;pago;
18/04/2017;veiculacao;Jornal;Alternativo;mar/17;Propeg;29913;Bras°lia Capital;634;7.410,00;;1.170,00;17,55;58,5;7.333,95;21;13/06/2017; nao ; nao ; coorfin ;12/05/2017;7;Rumo Certo - Educacao;pago;
18/04/2017;producao;Foto;normal;fev/17;Propeg;29731;Focalize Comunicacao;11;15.750,00;;15.750,00;;787,5;14.962,50;21;13/06/2017; nao ; nao ; coorfin ;12/05/2017;7;Rumo Certo - Educacao;pago;
